mzp,mdh,limit
1000,110,0.057969830592611696
1000,130,0.08537177735429553
1000,150,0.1806803046838488
1000,50,0.11742401024209624
1000,70,0.07284175181013747
1000,90,0.07760133178986255
1500,110,0.09029761442491409
1500,130,0.12677624778264604
1500,150,0.2652883894381443
1500,50,0.27142230153780067
1500,70,0.11055880732560137
1500,90,0.11294415734089348
2000,110,0.18371134156872854
2000,130,0.20093367892439862
2000,150,0.47907399930068734
2000,50,0.47317653311512026
2000,70,0.1781583673797251
2000,90,0.189426710919244
2500,110,0.3794132251701031
2500,130,0.4243762255171822
2500,150,0.9700994108402062
2500,50,0.9060964001443299
2500,70,0.34527101471305843
2500,90,0.3786606671202749
3000,110,0.7413416995189004
3000,130,0.8551346360446735
3000,150,1.9878469779209624
3000,50,1.7641614307560136
3000,70,0.6400393670687285
3000,90,0.7751361378591065
3500,110,1.6629106811013745
3500,130,1.7738116286597938
3500,150,4.286025900515464
3500,50,4.659424582766323
3500,70,1.3707563892749142
3500,90,1.6555725730532647
500,110,0.07660096975274915
500,130,0.0936360921845361
500,150,0.25670234120962204
500,50,0.1523625647926117
500,70,0.08344043972130585
500,90,0.09709346771666667
