mzp,mdh,limit
1000,110,0.05457094333900343
1000,130,0.0959496316056701
1000,150,0.2179786058522337
1000,50,0.2399418151065292
1000,70,0.0849757762475945
1000,90,0.06198491729158076
1500,110,0.10578438943470792
1500,130,0.16073942221958765
1500,150,0.3351762137646048
1500,50,0.5677376006701031
1500,70,0.13866251059570447
1500,90,0.09469144693402062
2000,110,0.21176125934536083
2000,130,0.24491707280584193
2000,150,0.6674184209690721
2000,50,0.9276869368917526
2000,70,0.26839313468384884
2000,90,0.22605549496219932
2500,110,0.45824417535567014
2500,130,0.5346803951116839
2500,150,1.4352001752474228
2500,50,2.047413218367698
2500,70,0.547231766895189
2500,90,0.4980486803934709
3000,110,0.9392158006786941
3000,130,1.0740366807147768
3000,150,2.7992506981786947
3000,50,3.417358742594502
3000,70,1.0393803416890035
3000,90,1.0830557406735395
3500,110,2.115125145635739
3500,130,2.211486026958763
3500,150,6.015052686546392
3500,50,9.345449239106529
3500,70,2.219352395756014
3500,90,2.4193914955670106
500,110,0.0633831269329897
500,130,0.08971447010618556
500,150,0.2561573273556701
500,50,0.2492916833024055
500,70,0.10170748878041239
500,90,0.07591295527371135
