,mzp,mdh,mdm,gq,gx,exp,obs
0,1003.0,68.0,1196.0,0.25,1.6209787171057284,,
1,1008.0,80.0,982.0,0.25,0.5947714647018835,1.21572606441e+34,
2,1013.0,127.0,157.0,0.25,0.15847355911710329,39.0564641112,
3,1018.0,93.0,531.0,0.25,0.7848513898920881,16.18988323,15.0134042241
4,1023.0,127.0,283.0,0.25,1.3618145769257528,0.0241985200195,0.0201498507193
5,1028.0,87.0,249.0,0.25,0.7989282387705083,0.109507680412,0.0923683048933
6,102.0,63.0,954.0,0.25,0.1294031753052363,,
7,1033.0,109.0,1055.0,0.25,0.12712313455218593,,
8,1038.0,121.0,282.0,0.25,1.4990213409797262,0.0164000337822,0.0133053525983
9,1042.0,77.0,423.0,0.25,0.12757590594519574,2.22122196649e+33,
10,1047.0,153.0,367.0,0.25,1.598089288495817,0.0743938087882,0.0737611280371
11,1052.0,79.0,370.0,0.25,1.5588077784689887,0.0216328110352,0.0278766498269
12,1057.0,52.0,1172.0,0.25,0.329636146769121,,
13,1062.0,56.0,466.0,0.25,0.15960443232244012,1.18758090442e+31,
14,1067.0,114.0,117.0,0.25,0.2701263923216615,3.57215275998,2.97041142999
15,1072.0,100.0,487.0,0.25,1.0808204559647925,0.296226950096,0.311047020599
16,1077.0,135.0,1033.0,0.25,0.5760411541217466,2.03416519676e+46,
17,107.0,137.0,499.0,0.25,0.13456424582491427,5.36579404061e+76,
18,1082.0,146.0,509.0,0.25,0.4926228108044516,26.5644164967,34.557812796
19,1087.0,60.0,1113.0,0.25,1.1279305825740893,,
20,1092.0,154.0,228.0,0.25,0.21901154242103302,,
21,1097.0,143.0,922.0,0.25,0.6783918813796476,6.76632456221e+35,
22,1102.0,59.0,1047.0,0.25,0.6206959916212882,4.64252120258e+38,
23,1107.0,63.0,968.0,0.25,2.064305357835227,5.16309230623,8.40523715069
24,1112.0,80.0,244.0,0.25,0.10306817314806359,3.82221463101e+27,
25,1117.0,162.0,642.0,0.25,1.5097184129593453,,
26,1122.0,156.0,258.0,0.25,0.21591893607642676,,
27,1127.0,118.0,950.0,0.25,0.18204362103017344,,
28,1132.0,159.0,677.0,0.25,3.1403204618290252,3.31178913113,3.27918878714
29,1137.0,76.0,267.0,0.25,0.7104827310543155,0.214743005945,0.301903840307
30,1141.0,136.0,1187.0,0.25,0.26255148199354483,,
31,1146.0,86.0,785.0,0.25,0.1419353922691846,,
32,1151.0,111.0,846.0,0.25,1.1159639568704711,1327.77183908,3541104.50331
33,1156.0,60.0,124.0,0.25,1.9922014842301294,0.00445117496003,0.00749610548611
34,1161.0,169.0,977.0,0.25,2.1773836648180023,,
35,1166.0,67.0,357.0,0.25,1.9710654942531851,0.00859705803184,0.00796706983664
36,1171.0,137.0,1166.0,0.25,0.605439099535219,2.5814985347e+51,
37,1176.0,120.0,1031.0,0.25,0.1455121235452241,,
38,1181.0,71.0,1190.0,0.25,1.7158621783041828,31.0057254745,121312.114802
39,1186.0,107.0,1001.0,0.25,0.11924258112344062,,
40,1191.0,110.0,1159.0,0.25,0.28090001790472613,4.52770586433e+81,
41,1196.0,151.0,401.0,0.25,0.28797861798760355,,
42,1216.0,159.0,193.0,0.25,1.4313140394368522,0.182485103969,0.163541449928
43,1221.0,144.0,731.0,0.25,0.13172411015560326,,
44,1226.0,161.0,384.0,0.25,1.472609085337127,,
45,122.0,96.0,1003.0,0.25,0.11672582709362168,1.39838519237e+70,
46,1231.0,106.0,281.0,0.25,1.7716544273169232,0.0101347405039,0.0104053819956
47,1236.0,163.0,275.0,0.25,0.5539476997986177,16.056790701,11.9846262462
48,1240.0,99.0,611.0,0.25,0.15293825522760884,6.56754562409e+60,
49,1245.0,73.0,993.0,0.25,0.11105804069549344,,
50,1250.0,70.0,1096.0,0.25,0.16834722753220238,,
51,1255.0,111.0,469.0,0.25,0.35899835779604317,9.37267913283,9.66512527976
52,1260.0,88.0,583.0,0.25,0.11385667154619691,3.49362765732e+59,
53,1265.0,130.0,1010.0,0.25,1.9432325792123724,12.4805753951,14.2733016915
54,1270.0,117.0,730.0,0.25,1.5532755146448534,4.84411567027,4.90058345917
55,1280.0,78.0,1069.0,0.25,0.8161541254018286,1.0289130208e+27,
56,1285.0,144.0,1138.0,0.25,1.462174950568369,13926740227300.0,
57,1290.0,144.0,285.0,0.25,0.19615568274098025,,
58,1295.0,140.0,626.0,0.25,1.3142479193304808,1.3168696969,1.70679019674
